27, 8, pa1-unknown-i-output1.txt
  207.57,   191.94,   197.84
  399.35,   402.63, -1303.09
   22.30,   -18.13, -1499.72
   20.45,   -16.62, -1374.75
   18.59,   -15.11, -1249.77
   24.03,   106.85, -1501.21
   22.17,   108.36, -1376.23
   20.31,   109.87, -1251.25
   25.75,   231.83, -1502.69
   23.89,   233.34, -1377.72
   22.03,   234.85, -1252.74
  147.28,   -19.83, -1497.84
  145.42,   -18.32, -1372.87
  143.56,   -16.81, -1247.89
  149.00,   105.15, -1499.33
  147.14,   106.66, -1374.35
  145.28,   108.17, -1249.38
  150.72,   230.13, -1500.82
  148.86,   231.64, -1375.84
  147.00,   233.15, -1250.86
  272.25,   -21.53, -1495.97
  270.39,   -20.02, -1370.99
  268.54,   -18.51, -1246.01
  273.97,   103.45, -1497.45
  272.12,   104.96, -1372.47
  270.26,   106.47, -1247.50
  275.70,   228.43, -1498.94
  273.84,   229.94, -1373.96
  271.98,   231.45, -1248.98
   14.59,    19.91, -1499.80
   13.37,    18.25, -1374.82
   12.15,    16.59, -1249.83
   14.38,   144.90, -1498.14
   13.16,   143.24, -1373.16
   11.95,   141.58, -1248.18
   14.17,   269.89, -1496.48
   12.96,   268.23, -1371.50
   11.74,   266.57, -1246.52
  139.58,    20.10, -1498.58
  138.37,    18.44, -1373.60
  137.15,    16.78, -1248.61
  139.37,   145.09, -1496.92
  138.16,   143.43, -1371.94
  136.94,   141.77, -1246.96
  139.17,   270.08, -1495.27
  137.95,   268.42, -1370.28
  136.73,   266.76, -1245.30
  264.58,    20.29, -1497.36
  263.36,    18.63, -1372.38
  262.14,    16.97, -1247.40
  264.37,   145.28, -1495.70
  263.15,   143.62, -1370.72
  261.94,   141.96, -1245.74
  264.16,   270.27, -1494.05
  262.95,   268.61, -1369.06
  261.73,   266.95, -1244.08
   17.61,   -17.91, -1499.79
   16.14,   -16.42, -1374.81
   14.67,   -14.92, -1249.82
   17.96,   107.08, -1501.28
   16.49,   108.57, -1376.30
   15.02,   110.07, -1251.31
   18.31,   232.07, -1502.77
   16.84,   233.56, -1377.79
   15.37,   235.06, -1252.80
  142.60,   -18.24, -1498.32
  141.13,   -16.75, -1373.33
  139.66,   -15.26, -1248.35
  142.95,   106.75, -1499.81
  141.48,   108.24, -1374.82
  140.02,   109.73, -1249.84
  143.30,   231.74, -1501.30
  141.83,   233.23, -1376.31
  140.37,   234.72, -1251.33
  267.59,   -18.58, -1496.84
  266.12,   -17.08, -1371.86
  264.66,   -15.59, -1246.88
  267.94,   106.41, -1498.33
  266.47,   107.91, -1373.35
  265.01,   109.40, -1248.37
  268.29,   231.40, -1499.82
  266.83,   232.90, -1374.84
  265.36,   234.39, -1249.86
   21.15,   -11.06, -1499.81
   19.39,   -10.14, -1374.83
   17.63,    -9.21, -1249.84
   22.87,   113.92, -1500.71
   21.11,   114.85, -1375.73
   19.35,   115.77, -1250.74
   24.58,   238.91, -1501.61
   22.82,   239.83, -1376.63
   21.06,   240.76, -1251.64
  146.13,   -12.76, -1498.04
  144.37,   -11.84, -1373.05
  142.61,   -10.91, -1248.07
  147.84,   112.22, -1498.94
  146.08,   113.15, -1373.95
  144.32,   114.07, -1248.97
  149.56,   237.21, -1499.84
  147.80,   238.13, -1374.85
  146.03,   239.06, -1249.87
  271.11,   -14.46, -1496.26
  269.34,   -13.54, -1371.28
  267.58,   -12.61, -1246.29
  272.82,   110.52, -1497.16
  271.06,   111.45, -1372.18
  269.30,   112.37, -1247.19
